timestamp,avg_price,Binance Spot_TC,Binance Futures_TC,Bybit_TC,OKX_TC,Binance US_TC,Bitmex_TC
1753639239,0.24,31,0,0,0,0,0
1753639240,0.24,12,0,0,0,0,0
1753639241,0.24,4,0,0,0,0,0
1753639242,0.24,10,0,0,0,0,0
1753639243,0.24,25,0,0,0,0,0
1753639244,0.24,16,0,0,0,0,0
1753639245,0.24,4,0,0,0,0,0
1753639246,0.24,1,0,0,0,0,0
1753639247,,0,0,0,0,0,0
1753639248,,0,0,0,0,0,0
1753639249,0.24,11,0,0,0,0,0
1753639250,0.24,9,0,0,0,0,0
1753639251,0.24,16,0,0,0,0,0
1753639252,0.24,23,0,0,0,0,0
1753639253,0.24,25,0,0,0,0,0
1753639254,0.24,1,0,0,0,0,0
1753639255,,0,0,0,0,0,0
1753639256,,0,0,0,0,0,0
1753639257,0.24,4,0,0,0,0,0
1753639258,0.24,8,0,0,0,0,0
1753639259,0.24,4,0,0,0,0,0
1753639260,0.24,36,0,0,0,0,0
1753639261,0.24,12,0,0,0,0,0
1753639262,0.24,6,0,0,0,0,0
1753639263,0.24,1,0,0,0,0,0
1753639264,0.24,21,0,0,0,0,0
1753639265,0.24,16,0,0,0,0,0
1753639266,0.24,19,0,0,0,0,0
1753639267,0.24,1,0,0,0,0,0
1753639268,0.24,62,0,0,0,0,0
1753639269,0.24,45,0,0,0,0,0
1753639270,0.24,2,0,0,0,0,0
1753639272,0.24,15,0,0,0,0,0
1753639273,0.24,6,0,0,0,0,0
1753639274,,0,0,0,0,0,0
1753639275,0.24,1,0,0,0,0,0
1753639276,0.24,22,0,0,0,0,0
1753639277,0.24,59,0,0,0,0,0
1753639278,0.24,6,0,0,0,0,0
1753639279,0.24,29,0,0,0,0,0
1753639280,0.24,38,0,0,0,0,0
1753639281,0.24,5,0,0,0,0,0
1753639282,0.24,1,0,0,0,0,0
1753639283,0.24,2,0,0,0,0,0
1753639284,0.24,16,0,0,0,0,0
1753639285,0.24,19,0,0,0,0,0
1753639286,0.24,7,0,0,0,0,0
1753639287,0.24,37,0,0,0,0,0
1753639288,0.24,1,0,0,0,0,0
1753639289,0.24,2,0,0,0,0,0
1753639290,0.24,17,0,0,0,0,0
1753639291,0.24,2,0,0,0,0,0
1753639292,0.24,56,0,0,0,0,0
1753639293,0.24,58,0,0,0,0,0
1753639294,0.24,13,0,0,0,0,0
1753639295,0.24,9,0,0,0,0,0
1753639296,0.24,2,0,0,0,0,0
1753639297,0.24,12,0,0,0,0,0
1753639298,0.24,1,0,0,0,0,0
1753639299,0.24,9,0,0,0,0,0
1753639300,0.24,28,0,0,0,0,0
1753639301,0.24,1,0,0,0,0,0
1753639302,,0,0,0,0,0,0
1753639303,0.24,30,0,0,0,0,0
1753639304,0.24,21,0,0,0,0,0
1753639305,0.24,27,0,0,0,0,0
1753639306,0.24,11,0,0,0,0,0
1753639307,0.24,7,0,0,0,0,0
1753639308,0.24,3,0,0,0,0,0
1753639309,,0,0,0,0,0,0
1753639310,,0,0,0,0,0,0
1753639311,0.24,21,0,0,0,0,0
1753639312,,0,0,0,0,0,0
1753639313,0.24,8,0,0,0,0,0
1753639314,0.24,10,0,0,0,0,0
1753639315,0.24,64,0,0,0,0,0
1753639316,0.24,6,0,0,0,0,0
1753639317,0.24,19,0,0,0,0,0
1753639318,0.24,16,0,0,0,0,0
1753639319,,0,0,0,0,0,0
1753639320,,0,0,0,0,0,0
1753639321,0.24,19,0,0,0,0,0
1753639322,0.24,55,0,0,0,0,0
1753639323,0.24,22,0,0,0,0,0
1753639324,0.24,20,0,0,0,0,0
1753639325,0.24,2,0,0,0,0,0
1753639326,0.24,1,0,0,0,0,0
1753639327,0.24,47,0,0,0,0,0
1753639328,0.24,32,0,0,0,0,0
1753639329,0.24,8,0,0,0,0,0
1753639330,0.24,9,0,0,0,0,0
1753639331,,0,0,0,0,0,0
1753639332,0.24,4,0,0,0,0,0
1753639333,0.24,24,0,0,0,0,0
1753639334,0.24,1,0,0,0,0,0
1753639335,0.24,12,0,0,0,0,0
1753639336,0.24,17,0,0,0,0,0
1753639337,0.24,1,0,0,0,0,0
1753639338,0.24,5,0,0,0,0,0
1753639339,0.24,1,0,0,0,0,0
1753639340,0.24,10,0,0,0,0,0
1753639341,0.24,26,0,0,0,0,0
1753639342,0.24,26,0,0,0,0,0
1753639343,0.24,1,0,0,0,0,0
1753639344,,0,0,0,0,0,0
1753639345,0.24,14,0,0,0,0,0
1753639346,0.24,36,0,0,0,0,0
1753639347,0.24,24,0,0,0,0,0
1753639348,0.24,19,0,0,0,0,0
1753639349,0.24,71,0,0,0,0,0
1753639350,0.24,45,0,0,0,0,0
1753639351,0.24,24,0,0,0,0,0
1753639352,0.24,18,0,0,0,0,0
1753639353,0.24,3,0,0,0,0,0
1753639354,,0,0,0,0,0,0
1753639355,0.24,1,0,0,0,0,0
1753639356,0.24,21,0,0,0,0,0
1753639357,,0,0,0,0,0,0
1753639358,0.24,3,0,0,0,0,0
1753639359,,0,0,0,0,0,0
1753639360,0.24,21,0,0,0,0,0
1753639361,0.24,84,0,0,0,0,0
1753639362,,0,0,0,0,0,0
1753639363,0.24,2,0,0,0,0,0
1753639364,0.24,9,0,0,0,0,0
1753639365,0.24,19,0,0,0,0,0
1753639366,0.24,15,0,0,0,0,0
1753639367,,0,0,0,0,0,0
1753639369,,0,0,0,0,0,0
1753639370,,0,0,0,0,0,0
1753639371,0.24,24,0,0,0,0,0
1753639372,0.24,27,0,0,0,0,0
1753639373,,0,0,0,0,0,0
1753639374,0.24,7,0,0,0,0,0
1753639375,0.24,30,0,0,0,0,0
1753639376,0.24,18,0,0,0,0,0
1753639377,0.24,2,0,0,0,0,0
1753639378,0.24,12,0,0,0,0,0
1753639379,,0,0,0,0,0,0
1753639380,0.24,25,0,0,0,0,0
1753639381,0.24,2,0,0,0,0,0
1753639382,0.24,8,0,0,0,0,0
1753639383,0.24,1,0,0,0,0,0
1753639384,,0,0,0,0,0,0
1753639385,0.24,3,0,0,0,0,0
1753639386,0.24,7,0,0,0,0,0
1753639387,0.24,4,0,0,0,0,0
1753639388,,0,0,0,0,0,0
1753639389,,0,0,0,0,0,0
1753639390,,0,0,0,0,0,0
1753639391,0.24,39,0,0,0,0,0
1753639392,0.24,14,0,0,0,0,0
1753639393,0.24,1,0,0,0,0,0
1753639394,0.24,1,0,0,0,0,0
1753639395,,0,0,0,0,0,0
1753639396,,0,0,0,0,0,0
1753639397,0.24,54,0,0,0,0,0
1753639398,,0,0,0,0,0,0
1753639399,0.24,1,0,0,0,0,0
1753639400,0.24,52,0,0,0,0,0
1753639401,0.24,3,0,0,0,0,0
1753639402,0.24,3,0,0,0,0,0
1753639403,0.24,4,0,0,0,0,0
1753639404,0.24,23,0,0,0,0,0
1753639405,0.24,6,0,0,0,0,0
1753639406,0.24,13,0,0,0,0,0
1753639407,0.24,4,0,0,0,0,0
1753639408,0.24,1,0,0,0,0,0
1753639409,0.24,10,0,0,0,0,0
1753639410,0.24,7,0,0,0,0,0
1753639411,0.24,24,0,0,0,1,0
1753639412,,0,0,0,0,0,0
1753639413,0.24,3,0,0,0,0,0
1753639414,0.24,12,0,0,0,0,0
1753639415,0.24,14,0,0,0,0,0
1753639416,0.24,29,0,0,0,0,0
1753639417,0.24,17,0,0,0,0,0
1753639418,,0,0,0,0,0,0
1753639419,,0,0,0,0,0,0
1753639420,0.24,12,0,0,0,0,0
1753639421,,0,0,0,0,0,0
1753639422,0.24,1,0,0,0,0,0
1753639423,0.24,26,0,0,0,0,0
1753639424,0.24,2,0,0,0,1,0
1753639425,0.24,46,0,0,0,0,0
1753639426,0.24,1,0,0,0,0,0
1753639427,0.24,3,0,0,0,0,0
1753639428,0.24,2,0,0,0,0,0
1753639429,0.24,6,0,0,0,0,0
1753639430,0.24,4,0,0,0,0,0
1753639431,,0,0,0,0,0,0
1753639432,0.24,14,0,0,0,0,0
1753639433,0.24,8,0,0,0,0,0
1753639434,0.24,21,0,0,0,0,0
1753639435,0.24,6,0,0,0,0,0
1753639436,0.24,3,0,0,0,0,0
1753639437,0.24,10,0,0,0,0,0
1753639438,0.24,16,0,0,0,0,0
1753639439,0.24,2,0,0,0,0,0
1753639440,0.24,5,0,0,0,0,0
1753639441,,0,0,0,0,0,0
1753639442,0.24,19,0,0,0,0,0
1753639443,,0,0,0,0,0,0
1753639444,0.24,16,0,0,0,0,0
1753639445,0.24,6,0,0,0,0,0
1753639446,0.24,16,0,0,0,0,0
1753639447,0.24,16,0,0,0,0,0
1753639448,0.24,1,0,0,0,0,0
1753639449,0.24,69,0,0,0,0,0
1753639450,0.24,3,0,0,0,0,0
1753639451,0.24,160,0,0,0,0,0
1753639452,0.24,84,0,0,0,0,0
1753639453,0.24,25,0,0,0,0,0
1753639454,0.24,2,0,0,0,0,0
1753639455,0.24,19,0,0,0,0,0
1753639456,0.24,46,0,0,0,0,0
